id,tag_id,taggable_type,taggable_id,created_at,updated_at
89,44,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
90,62,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
91,63,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
92,64,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
93,65,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
94,66,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
95,67,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
96,68,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
97,39,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
98,69,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
99,70,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
100,71,Entry,12,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
101,72,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
102,73,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
103,74,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
104,59,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
105,75,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
106,76,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
107,77,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
108,55,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
109,78,Entry,13,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
110,4,Entry,14,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
111,79,Entry,14,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
112,80,Entry,14,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
113,4,Entry,15,2017-07-25 23:03:31 UTC,2017-07-25 23:03:31 UTC
114,79,Entry,15,2017-07-25 23:03:31 UTC,2017-07-25 23:03:31 UTC
115,4,Entry,16,2017-07-25 23:04:04 UTC,2017-07-25 23:04:04 UTC
116,79,Entry,16,2017-07-25 23:04:04 UTC,2017-07-25 23:04:04 UTC
117,4,Entry,17,2017-07-25 23:04:26 UTC,2017-07-25 23:04:26 UTC
118,79,Entry,17,2017-07-25 23:04:26 UTC,2017-07-25 23:04:26 UTC
119,4,Entry,18,2017-07-25 23:05:06 UTC,2017-07-25 23:05:06 UTC
120,79,Entry,18,2017-07-25 23:05:06 UTC,2017-07-25 23:05:06 UTC
